"district","city","province","postal_code"
"LUT TAWAR","ACEH TENGAH","ACEH","24512"
"LUT TAWAR","ACEH TENGAH","ACEH","24513"
"MEURAXA","BANDA ACEH","ACEH","23234"
"SIMPANG TIGA","ACEH BESAR","ACEH","23371"
"BAITURRAHMAN","BANDA ACEH","ACEH","23244"
"BAITURRAHMAN","BANDA ACEH","ACEH","23245"
"BAITURRAHMAN","BANDA ACEH","ACEH","23241"
"LHOKNGA (LHO\NGA)","ACEH BESAR","ACEH","23353"
"BEBESEN","ACEH TENGAH","ACEH","24552"
"KUTE PANANG","ACEH TENGAH","ACEH","24568"
"ATU LINTANG","ACEH TENGAH","ACEH","24563"
"BINTANG","ACEH TENGAH","ACEH","24571"
"KETAMBE","ACEH TENGGARA","ACEH","24652"
"LABUHAN HAJI TIMUR","ACEH SELATAN","ACEH","23758"
"KOTA JANTHO","ACEH BESAR","ACEH","23917"
"PERMATA","BENER MERIAH","ACEH","24582"
"KUTA BLANG","BIREUEN","ACEH","24356"
"BEUTONG","NAGAN RAYA","ACEH","23672"
"TRIPA MAKMUR","NAGAN RAYA","ACEH","23662"
"BEUTONG ATEUH BANGGALANG","NAGAN RAYA","ACEH","23672"
"BUKIT","BENER MERIAH","ACEH","24581"
"TELUK DALAM","SIMEULUE","ACEH","23891"
"DABUN GELANG (DEBUN GELANG)","GAYO LUES","ACEH","24653"
"BADAR","ACEH TENGGARA","ACEH","24652"
"RUNDENG","SUBULUSSALAM","ACEH","24786"
"BAITUSSALAM","ACEH BESAR","ACEH","23373"
"KETOL","ACEH TENGAH","ACEH","24562"
"LAWE BULAN","ACEH TENGGARA","ACEH","24651"
"SUSOH","ACEH BARAT DAYA","ACEH","23765"
"BANDAR","BENER MERIAH","ACEH","24582"
"KOTA COT GLIE (KUTA COT GLIE)","ACEH BESAR","ACEH","23363"
"MUTIARA","PIDIE","ACEH","24173"
"INDRAJAYA","PIDIE","ACEH","24171"
"PEULIMBANG (PLIMBANG)","BIREUEN","ACEH","24263"
"GLUMPANG BARO","PIDIE","ACEH","24183"
"KUALA","BIREUEN","ACEH","24261"
"PEUKAN BARO","PIDIE","ACEH","24172"
"MEUREUBO","ACEH BARAT","ACEH","23615"
"SEKERAK","ACEH TAMIANG","ACEH","24476"
"SUKAJAYA","SABANG","ACEH","23525"
"SAKTI","PIDIE","ACEH","24164"
"BANDA SAKTI","LHOKSEUMAWE","ACEH","24351"
"KUTA ALAM","BANDA ACEH","ACEH","23126"
"WIH PESAM","BENER MERIAH","ACEH","24581"
"TIMANG GAJAH","BENER MERIAH","ACEH","24553"
"DEWANTARA","ACEH UTARA","ACEH","24354"
"GEUMPANG","PIDIE","ACEH","24167"
"LONGKIB","SUBULUSSALAM","ACEH","24782"
"KLUET SELATAN","ACEH SELATAN","ACEH","23772"
"MEURAH MULIA","ACEH UTARA","ACEH","24372"
"LHOONG","ACEH BESAR","ACEH","23354"
"GRONG GRONG","PIDIE","ACEH","24152"
"KOTA JANTHO","ACEH BESAR","ACEH","23911"
"LANGSA LAMA","LANGSA","ACEH","24411"
"LABUHAN HAJI BARAT","ACEH SELATAN","ACEH","23757"
"SUKAKARYA","SABANG","ACEH","23517"
"MUARA TIGA","PIDIE","ACEH","24153"
"BENER KELIPAH","BENER MERIAH","ACEH","24582"
"LUENG BATA","BANDA ACEH","ACEH","23245"
"LAWE ALAS","ACEH TENGGARA","ACEH","24661"
"MUARA SATU","LHOKSEUMAWE","ACEH","24352"
"SIMPANG JERNIH","ACEH TIMUR","ACEH","24458"
"SULTAN DAULAT","SUBULUSSALAM","ACEH","24782"
"DARUL IMARAH","ACEH BESAR","ACEH","23352"
"KUTA PANJANG","GAYO LUES","ACEH","24655"
"KOTA SIGLI","PIDIE","ACEH","24112"
"LAWE SUMUR","ACEH TENGGARA","ACEH","24671"
"JAGONG JEGET","ACEH TENGAH","ACEH","24563"
"TERANGUN (TERANGON)","GAYO LUES","ACEH","24656"
"DELENG POKHISEN","ACEH TENGGARA","ACEH","24651"
"MESJID RAYA","ACEH BESAR","ACEH","23381"
"MEUREUDU","PIDIE JAYA","ACEH","24186"
"SUKAJAYA","SABANG","ACEH","23527"
"KUTA ALAM","BANDA ACEH","ACEH","23124"
"MEURAH DUA","PIDIE JAYA","ACEH","24186"
"SAMUDERA","ACEH UTARA","ACEH","24374"
"DARUL KAMAL","ACEH BESAR","ACEH","23352"
"KOTA JUANG","BIREUEN","ACEH","24251"
"DANAU PARIS","ACEH SINGKIL","ACEH","24784"
"JAYA BARU","BANDA ACEH","ACEH","23235"
"SEUNAGAN TIMUR","NAGAN RAYA","ACEH","23671"
"KOTA SIGLI","PIDIE","ACEH","24111"
"JOHAN PAHLAWAN","ACEH BARAT","ACEH","23618"
"LUENG BATA","BANDA ACEH","ACEH","23248"
"PEUSANGAN SELATAN","BIREUEN","ACEH","24261"
"MANE","PIDIE","ACEH","24186"
"SAWANG","ACEH SELATAN","ACEH","23753"
"SIMPANG TIGA","PIDIE","ACEH","24181"
"BAKTIYA BARAT","ACEH UTARA","ACEH","24392"
"MEURAXA","BANDA ACEH","ACEH","23233"
"SYIAH UTAMA","BENER MERIAH","ACEH","24582"
"KOTA SIGLI","PIDIE","ACEH","24119"
"BANDA ALAM","ACEH TIMUR","ACEH","24458"
"TIRO / TRUSEB","PIDIE","ACEH","24174"
"LANGSA KOTA","LANGSA","ACEH","24412"
"GUNUNG MERIAH (MARIAH)","ACEH SINGKIL","ACEH","24784"
"KOTA SIGLI","PIDIE","ACEH","24118"
"KOTA SIGLI","PIDIE","ACEH","24114"
"BLANK BINTANG","ACEH BESAR","ACEH","23362"
"BLANK BINTANG","ACEH BESAR","ACEH","23371"
"KOTA MALAKA (KUTA MALAKA)","ACEH BESAR","ACEH","23363"
"JANGKA BUYA","PIDIE JAYA","ACEH","24186"
"KEBAYAKAN","ACEH TENGAH","ACEH","24519"
"LAWE SIGALA-GALA","ACEH TENGGARA","ACEH","24673"
"KOTA JANTHO","ACEH BESAR","ACEH","23919"
"KOTA KUALA SIMPANG","ACEH TAMIANG","ACEH","24475"
